"tax_cat","prod","n_obs","lm_r2","lm_adj_r2","lm_aic","lm_bic","lm_rmse","lm_df","lm_fstat","lm_pval","seg_r2","seg_adj_r2","seg_aic","seg_bic","seg_rmse","seg_df","seg_fstat","seg_pval","lm_XSSB_p_value","lm_xSSB_intervention_p_value","lm_xSSB_post_p_value","lm_t_p_value","seg_XSSB_p_value","seg_xSSB_intervention_p_value","seg_xSSB_post_p_value","seg_t_p_value"
"Reduced Tax Group","ממרחים",290,0.453022262205294,0.445345381674842,2777.69858381147,2799.71786934935,28.4886938330497,285,59.0112429662389,3.00113482551436e-36,0.457021463267417,0.445509550827857,2779.57047364842,2808.92952103226,28.3843559197758,283,39.6998731241985,6.43424787281071e-35,NA,0.432155174313348,0.877388548991031,0.206982499906483,NA,0.947016208066986,0.98036435304349,0.342247486261226
"Reduced Tax Group","וודקה",290,0.330367833956817,0.320969487766737,2806.15350493281,2828.17279047069,29.9212074961306,285,35.1516987430757,7.30490995858356e-24,0.335603534101606,0.321517389948283,2807.87715073518,2837.23619811902,29.8040044251445,283,23.8250816155704,8.84746945591937e-23,NA,0.926937763310856,0.277764465872406,0.509552647249327,NA,0.93032677765921,0.194939946849124,0.22793313833165
"Reduced Tax Group","שוקולד",290,0.0794949504544354,0.0665755813380063,2926.45829825467,2948.47758379255,36.8180998214664,285,6.15316040110234,9.2177233030623e-05,0.084676452366714,0.0652702994133582,2928.82128317935,2958.18033056319,36.7143294634023,283,4.36338168467702,0.000311606171119882,NA,0.434577820539721,0.0554590581567725,0.0360227877848723,NA,0.660363719990719,0.0398580511044729,0.643703058744795
"Reduced Tax Group","בצק מוכן להכנת מאפים",290,0.481997717236294,0.474727509758908,2767.78660180854,2789.80588734642,28.0059693019811,285,66.2976563922821,1.36584296017166e-39,0.483208123408843,0.472251405177228,2771.10817132658,2800.46721871043,27.9732296549141,283,44.1015378139952,6.58555131092917e-38,NA,0.559029897468604,0.873849246900004,0.419025184685108,NA,0.832392724055937,0.787809022804984,0.384951573813504
"Reduced Tax Group","בקבוקי מינרלים",290,0.206594267935833,0.195458748889318,2940.71000314046,2962.72928867834,37.7339972612847,285,18.5527290710796,1.45052490457787e-13,0.222640337816269,0.206159214236402,2938.78483804555,2968.1438854294,37.350476542103,283,13.5088082276284,1.77471326694464e-13,NA,0.612886024270566,0.990666207275311,0.447218413137353,NA,0.129921839561753,0.88687377764297,0.146014901048988
"Reduced Tax Group","ממתיקים",290,0.498668068873997,0.491631831244159,2768.39657274156,2790.41585827944,28.0354379453568,285,70.871408145639,1.33524277151878e-41,0.499500457694106,0.488889159977373,2771.9146697074,2801.27371709125,28.0121538910385,283,47.0725137516832,7.55852387739759e-40,NA,0.452888633131987,0.930833673217184,0.239209055275922,NA,0.778544649949878,0.979000320111202,0.53384190292492
"Reduced Tax Group","חטיף חלבון",290,0.475153952878223,0.467787692567741,2777.24708770165,2799.26637323954,28.4665256789593,285,64.5040947306939,8.74110862910106e-39,0.476866406390069,0.465775234794099,2780.29933654096,2809.65838392481,28.4200478306189,283,42.99513376597,3.60413151054153e-37,NA,0.364893507709212,0.74076407371614,0.126495795727321,NA,0.215648595881197,0.763724668629128,0.414911581760176
"Reduced Tax Group","תמציות",290,0.518793483223492,0.512039707549436,2764.82349743717,2786.84278297505,27.8632572422071,285,76.8153264575206,4.04467218933387e-44,0.519840692626542,0.509660636639826,2768.19170704194,2797.55075442579,27.8329224939925,283,51.0646202049245,2.30692906474176e-42,NA,0.439756073387652,0.9101370992731,0.221464847047496,NA,0.789627243488758,0.973106361679909,0.458757295844603
"Reduced Tax Group","טחינה",290,0.478608423076064,0.471290646557833,2771.86310437008,2793.88238990796,28.2035012912846,285,65.403530961039,3.43548703229974e-39,0.482366216868259,0.471391649028011,2773.76543670365,2803.1244840875,28.1016828124876,283,43.9530944534504,8.26286496359909e-38,NA,0.558797615779092,0.879863991802964,0.416626258605619,NA,0.883656486701235,0.75393251888364,0.285306944722513
"Reduced Tax Group","קטשופ",290,0.503872853897737,0.496909665882267,2767.04682385684,2789.06610939473,27.9702710409375,285,72.3623795276338,3.04890405608154e-42,0.505422257097151,0.494936509897797,2770.13973780295,2799.4987851868,27.9265613626657,283,48.2008813953004,1.43582335258754e-40,NA,0.557634420615225,0.875230267386997,0.416738768990883,NA,0.98602542748898,0.841599376626835,0.718845172792968
